Project,EQID,Earthquake Name,Moment Magnitude,Magnitude Type,YEAR,MODY,HRMN,Finite Fault Flag,Hypocenter Latitude (deg),Hypocenter Longitude (deg),Hypocenter Depth (km),Total Fault Length (km),Total Fault Width (km),Total Rectangular Fault Area (km*km),Number of fault rectangular segments,Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner(ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km),Segment Number,Strike (deg),Dip  (deg), Length (km),Width (km),Rake (deg),Latitude: Upper Left Corner (ULC) (deg),Longitude: ULC  (deg),Depth: ULC (km)
NGAW2,295,"Wenchuan, China-14",5.7,Mw,2008,724,709,0,32.759,105.61,10,7,4.6,31.8,1,1,17,79,7,4.6,165,32.7324,105.5917,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,296,"Wenchuan, China-15",5.7,Mw,2008,801,832,0,32.02,104.849,14,7.6,4.2,32,1,1,221,70,7.6,4.2,44,32.0383,104.8872,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,297,"Wenchuan, China-16",5.9,Mw,2008,805,949,0,32.72,105.61,13,8.1,8.5,68.8,1,1,348,44,8.1,8.5,103,32.6819,105.5795,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,298,"Wenchuan, China-17",5.1,Mw,2008,512,2354,0,31.28,103.629,10,3.9,2.9,11.2,1,1,254,54,3.9,2.9,-99,31.2701,103.6499,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,299,"Wenchuan, China-18",5.5,Mw,2008,723,1954,0,32.72,105.629,10,5.7,4.3,24.5,1,1,10,44,5.7,4.3,51,32.6979,105.5959,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,300,"Wenchuan, China-19",5,MS,2008,512,1340,0,31.02,103.65,9,2.7,5.5,14.6,1,1,228.1,35,2.7,5.5,90,31.0083,103.6828,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,301,"Wenchuan, China-20",5.3,MS,2008,512,942,0,31.479,104.129,14,5.1,3.3,16.9,1,1,228.1,35,5.1,3.3,90,31.4816,104.1543,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,302,"Wenchuan, China-21",4.7,MS,2008,512,1446,0,32.72,105.639,10,2.7,2.5,6.7,1,1,232.1,65,2.7,2.5,90,32.7226,105.6532,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,303,"Wenchuan, China-22",5.2,Mw,2008,512,2346,0,31.34,103.58,13,4.2,5.3,22.6,1,1,209.9,84,4.2,5.3,-90,31.3548,103.5941,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,304,"Wenchuan, China-23",5.8,MS,2008,512,654,0,31.26,103.589,13,8.5,7.4,62.6,1,1,228,35,8.5,7.4,90,31.2564,103.6518,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,305,"Wenchuan, China-24",5.8,MS,2008,512,734,0,31.29,103.769,13,6.1,7.1,43.2,1,1,227.9,35,6.1,7.1,90,31.2854,103.8173,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,306,"Wenchuan, China-25",5.1,Mw,2008,514,926,0,31.409,104.12,10,3.2,4.4,13.9,1,1,29.1,42,3.2,4.4,90,31.3996,104.0953,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,307,"Wenchuan, China-26",4.8,ML,2008,512,740,0,31.389,103.73,10,2.6,3.1,8.1,1,1,228,35,2.6,3.1,90,31.3844,103.7519,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,308,"Wenchuan, China-27",4.5,MS,2008,512,1528,0,31.1,103.589,10,2,1.6,3.1,1,1,227.9,35,2,1.6,90,31.101,103.6005,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,309,"Wenchuan, China-28",4.8,MS,2008,512,731,0,30.899,103.54,11,2.5,2.9,7,1,1,228.1,35,2.5,2.9,90,30.897,103.5586,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,310,"Wenchuan, China-29",5.5,MS,2008,512,810,0,31.139,103.599,10,4.9,8.1,39.4,1,1,228.1,35,4.9,8.1,90,31.1206,103.6475,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,311,"Wenchuan, China-30",5.2,MS,2008,512,906,0,31.159,103.69,10,4.3,3.8,16,1,1,228.1,35,4.3,3.8,90,31.1606,103.7193,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,312,"Wenchuan, China-31",5,MS,2008,512,1023,0,30.969,103.48,9,3.6,4.2,14.9,1,1,228,35,3.6,4.2,90,30.9665,103.5108,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,313,"Wenchuan, China-32",4.9,MS,2008,512,1729,0,31.209,103.68,24,2.6,3.8,9.9,1,1,228.2,35,2.6,3.8,90,31.2048,103.7073,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,314,"Wenchuan, China-33",5,mb,2008,512,641,0,32.099,104.65,10,2.9,3.3,9.6,1,1,228,35,2.9,3.3,90,32.0975,104.6719,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,315,"Wenchuan, China-34",4.8,MS,2008,513,820,0,31.36,104.05,17,3.1,2.4,7.4,1,1,227.9,35,3.1,2.4,90,31.3594,104.0701,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,316,"Wenchuan, China-35",4.6,MS,2008,512,1703,0,31.1,103.65,20,2.9,1.6,4.5,1,1,228,35,2.9,1.6,90,31.1031,103.6666,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,317,"Wenchuan, China-36",5,MS,2008,512,1754,0,31.26,103.62,17,3.6,2.5,9.2,1,1,228,35,3.6,2.5,90,31.2632,103.6421,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,318,"Wenchuan, China-37",4.7,MS,2008,512,713,0,31.069,103.339,14,2.3,2.5,5.8,1,1,228.2,35,2.3,2.5,90,31.0679,103.3587,13.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,319,"Wenchuan, China-38",5.2,MS,2008,512,931,0,31.159,103.559,10,3.5,4.4,15.7,1,1,228.1,35,3.5,4.4,90,31.1535,103.591,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,320,"Wenchuan, China-39",5.1,MS,2008,512,1505,0,31.05,103.42,14,3.4,3.6,12.2,1,1,227.9,35,3.4,3.6,90,31.045,103.4441,12.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,321,"Wenchuan, China-40",4.8,MS,2008,512,1505,0,31.2,103.79,17,2.7,3,8.1,1,1,228.1,35,2.7,3,90,31.1976,103.8096,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,322,"Wenchuan, China-41",4.3,MS,2008,513,1036,0,31.25,103.879,20,1.6,1.4,2.3,1,1,227.9,35,1.6,1.4,90,31.2503,103.8913,19.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,323,"Wenchuan, China-42",4.6,MS,2008,512,1516,0,31.149,103.449,17,2.3,2.2,5,1,1,227.9,35,2.3,2.2,90,31.1478,103.4681,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,324,"Wenchuan, China-43",5.1,MS,2008,513,719,0,32.349,105.239,18,4.4,3,13.3,1,1,232,65,4.4,3,90,32.3571,105.2672,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,325,"Wenchuan, China-44",4.7,MS,2008,513,752,0,32.24,105.099,23,2.4,2.5,5.9,1,1,231.9,65,2.4,2.5,90,32.2426,105.1148,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,326,"Wenchuan, China-45",5.1,MS,2008,512,826,0,31.399,104.12,12,3.5,3.4,12,1,1,228,35,3.5,3.4,90,31.4006,104.1457,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,327,"Wenchuan, China-46",3.8,MS,2008,513,1530,0,31.049,104.58,15,0.8,1.2,0.9,1,1,227.9,35,0.8,1.2,90,31.0466,104.5871,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,328,"Wenchuan, China-47",4.7,MS,2008,514,554,0,31.95,104.239,15,2.8,1.5,4.2,1,1,232.1,65,2.8,1.5,90,31.9541,104.2543,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,329,"Wenchuan, China-48",4.9,MS,2008,512,1215,0,31.87,104.569,9,2.9,2.2,6.4,1,1,232.1,65,2.9,2.2,90,31.8712,104.585,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,330,"Wenchuan, China-49",4.3,MS,2008,513,215,0,31.579,104.11,15,1.8,1.2,2,1,1,228.2,35,1.8,1.2,90,31.5804,104.1211,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,331,"Wenchuan, China-50",4.3,MS,2008,514,1717,0,31.43,103.98,16,1.1,1.6,1.8,1,1,228.1,35,1.1,1.6,90,31.4275,103.9877,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,332,"Wenchuan, China-51",4.3,MS,2008,512,1213,0,31.389,103.629,20,1.5,1.9,2.8,1,1,227.6,35,1.5,1.9,90,31.3846,103.6426,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,333,"Wenchuan, China-52",4.8,Mw,2008,516,334,0,31.389,104.16,11,2.2,2.3,5,1,1,225.1,26,2.2,2.3,101,31.389,104.1755,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,334,"Wenchuan, China-53",4.7,mb,2008,512,2051,0,32.33,105.169,22,2.6,2.5,6.5,1,1,231.8,65,2.6,2.5,90,32.3349,105.1857,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,335,"Wenchuan, China-54",4.7,MS,2008,512,725,0,31.1,103.48,18,2.2,2.3,5.1,1,1,232,65,2.2,2.3,90,31.0999,103.4937,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,336,"Wenchuan, China-55",4.3,MS,2008,513,233,0,31.27,103.809,14,1.8,0.8,1.5,1,1,228,35,1.8,0.8,90,31.2745,103.8171,13.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,337,"Wenchuan, China-56",4.8,MS,2008,512,1141,0,32.22,105.089,9,3.3,1.8,6,1,1,231.9,65,3.3,1.8,90,32.226,105.1068,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,338,"Wenchuan, China-57",4.8,MS,2008,514,2101,0,31.639,104.339,10,3.6,3.3,11.9,1,1,228.1,35,3.6,3.3,90,31.6409,104.371,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,339,"Wenchuan, China-58",4.3,MS,2008,512,1211,0,31.319,104.239,15,1.4,1.7,2.4,1,1,227.8,35,1.4,1.7,90,31.3177,104.2503,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,340,"Wenchuan, China-59",4.2,MS,2008,512,2224,0,32.15,105.059,15,1.1,1.3,1.5,1,1,232.2,65,1.1,1.3,90,32.15,105.0648,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,341,"Wenchuan, China-60",5.2,Mw,2008,527,803,0,32.759,105.65,15,4.2,4.3,18.4,1,1,245.1,88,4.2,4.3,163,32.7672,105.6729,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,342,"Wenchuan, China-61",4.7,MS,2008,512,802,0,31.829,104.379,9,2.3,2.8,6.3,1,1,228,35,2.3,2.8,90,31.826,104.3985,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,343,"Wenchuan, China-62",4.3,ML,2008,512,808,0,31.03,103.4,25,1.6,1.8,3,1,1,227.9,35,1.6,1.8,90,31.0285,103.415,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,344,"Wenchuan, China-63",4.8,MS,2008,512,850,0,32.24,105.19,21,2.6,2.9,7.6,1,1,232,65,2.6,2.9,90,32.2413,105.2051,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,345,"Wenchuan, China-64",4.4,MS,2008,514,156,0,31.19,103.8,13,1.7,1.7,2.9,1,1,228.2,35,1.7,1.7,90,31.1894,103.8136,12.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,346,"Christchurch, New Zealand",6.2,Mw,2011,221,2351,1,-43.571,172.703,6,7,10,70,1,1,59,67,7,10,135,-43.5577,172.6775,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1001,40204628,5.45,Mw,2007,1031,304,0,37.43173,-121.77666,7.486,5.7,5.6,31.8,1,1,323,87,5.7,5.6,-180,37.448,-121.7945,4.2552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1002,14383980,5.39,Mw,2008,729,1842,0,33.9465,-117.7667,14.89,6.3,4.6,29,1,1,296,66,6.3,4.6,146,33.9466,-117.7945,12.3781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1003,14151344,5.2,Mw,2005,612,1541,0,33.53283,-116.56966,15.48,4.1,3.3,13.5,1,1,304,58,4.1,3.3,172,33.531,-116.5941,13.1756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1004,14346868,5.1,Mw,2008,209,712,0,32.4105,-115.312,18.65,4,3.4,13.5,1,1,147,66,4,3.4,-175,32.4052,-115.2942,16.2262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1005,14408052,5.06,Mw,2008,1206,418,0,34.81183,-116.42267,9.33,3.1,2.9,9.2,1,1,172,79,3.1,2.9,-157,34.7981,-116.4151,6.8864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1006,14095628,5.03,Mw,2004,929,2254,0,35.3852,-118.6292,7.3,4.1,3.6,14.9,1,1,105,82,4.1,3.6,173,35.3843,-118.6099,4.786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1007,14155260,4.88,ML,2005,616,2053,0,34.06551,-117.00111,17.501,2.8,2.5,7.1,1,1,298,64,2.8,2.5,148,34.0638,-117.0164,15.7889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1008,21465580,4.77,Mw,2005,626,1845,0,39.31367,-120.06348,9.697,2.8,2.5,7,1,1,320,78,2.8,2.5,180,39.32,-120.0763,7.8557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1009,14462064,4.73,ML,2009,523,2258,0,36.40113,-117.8397,7.419,2.6,1.8,4.6,1,1,338,83,2.6,1.8,-178,36.411,-117.847,5.8244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1010,9086596,4.93,ML,1999,514,754,0,34.06693,-116.36806,2.241,3.1,3.4,10.5,1,1,336,72,3.1,3.4,162,34.0771,-116.3807,0.3924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1011,10410337,4.7,ML,2009,518,339,0,33.92746,-118.35364,11.588,2.2,1.8,3.9,1,1,327,83,2.2,1.8,-158,33.9338,-118.361,10.1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1012,14186612,4.69,ML,2005,922,2024,0,35.01725,-119.02466,9.251,2.6,2.7,7.1,1,1,59,28,2.6,2.7,46,35.0334,-119.0221,8.4948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1013,51182810,4.6,Mw,2007,612,723,0,37.52547,-118.86124,10.217,2.4,2.5,6,1,1,311,76,2.4,2.5,175,37.5288,-118.8723,8.7688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1014,14138080,4.59,ML,2005,416,1918,0,34.99775,-119.19263,10.662,2.2,2.5,5.4,1,1,177,35,2.2,2.5,-128,34.9875,-119.1735,9.4868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGAW2,1015,9753485,4.18,ML,2002,129,553,0,34.36166,-118.66371,11.151,1.9,1.1,2.1,1,1,102,55,1.9,1.1,101,34.3646,-118.6539,10.4304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
